,t,x,y,status,evt
0,0.0,-0.22607929,0.39632112,False,0.0
1,0.002,-0.20201948,0.40050432,False,0.0
2,0.004,-0.22152948,0.39246267,False,0.0
3,0.006,-0.3003746,0.37334454,False,0.0
4,0.008,-0.2672531,0.3411371,False,0.0
5,0.01,-0.28493404,0.38796344,False,0.0
6,0.012,-0.2712992,0.31672046,False,0.0
7,0.014,-0.2824389,0.3178737,False,0.0
8,0.016,-0.2546383,0.33446848,False,0.0
9,0.018,-0.26040167,0.33861086,False,0.0
10,0.02,-0.28006142,0.4050483,False,0.0
11,0.022,-0.2686864,0.45352864,False,0.0
12,0.024,-0.23814857,0.45944563,False,0.0
13,0.026,-0.22379126,0.47661996,False,0.0
14,0.028,-0.19320576,0.4166625,False,0.0
15,0.03,-0.20816886,0.41801703,False,0.0
16,0.032,-0.2276244,0.42540622,False,0.0
17,0.034,-0.19296655,0.4206172,False,0.0
18,0.036,-0.14077847,0.5211388,False,0.0
19,0.038,-0.12315783,0.5220315,False,0.0
20,0.04,-0.11238182,0.49616107,False,0.0
21,0.042,-0.14301205,0.52041245,False,0.0
22,0.044,-0.1612696,0.52285314,False,0.0
23,0.046,-0.15385514,0.49871358,False,0.0
24,0.048,-0.15232559,0.4281017,False,0.0
25,0.05,-0.14725263,0.4332981,False,0.0
26,0.052,-0.120153144,0.44176763,False,0.0
27,0.054,-0.10643275,0.49722195,False,0.0
28,0.056,-0.078775115,0.5156487,False,0.0
29,0.058,-0.08426911,0.51810205,False,0.0
30,0.06,-0.07485347,0.5471842,False,0.0
31,0.062,-0.055132464,0.5479641,False,0.0
32,0.064,-0.048884872,0.47866198,False,0.0
33,0.066,-0.031624008,0.51747096,False,0.0
34,0.068,-0.028122438,0.4940743,False,0.0
35,0.07,-0.0119681535,0.43323103,False,0.0
36,0.072,-0.012213196,0.44223243,False,0.0
37,0.074,-0.029243601,0.4770371,False,0.0
38,0.076,-0.00065344485,0.47092274,False,0.0
39,0.078,0.04817989,0.50145084,False,0.0
40,0.08,0.014019893,0.50740576,False,0.0
41,0.082,0.030766362,0.50836843,False,0.0
42,0.084,0.015865486,0.5220091,False,0.0
43,0.086,-0.0042376677,0.4977548,False,0.0
44,0.088,-0.013034863,0.50591415,False,0.0
45,0.09,-0.0013030001,0.49822253,False,0.0
46,0.092,0.0035978362,0.5570491,False,0.0
47,0.094,0.022034315,0.51511973,False,0.0
48,0.096,0.04187687,0.48933586,False,0.0
49,0.098,0.12574536,0.5314753,False,0.0
50,0.1,0.08350481,0.53043675,False,0.0
51,0.102,0.123205476,0.5531012,False,0.0
52,0.104,0.11991102,0.5448135,False,0.0
53,0.106,0.124117576,0.48067287,False,0.0
54,0.108,0.07251488,0.45311052,False,0.0
55,0.11,0.053915035,0.50024897,False,0.0
56,0.112,0.03534631,0.4552109,False,0.0
57,0.114,0.03916974,0.46464208,False,0.0
58,0.116,0.031194214,0.45198935,False,0.0
59,0.118,0.023323704,0.45064455,False,0.0
60,0.12,0.0075457324,0.45731318,False,0.0
61,0.122,0.004807487,0.4155248,False,0.0
62,0.124,0.03160845,0.4507622,False,0.0
63,0.126,0.07370313,0.4683323,False,0.0
64,0.128,0.09907858,0.4564147,False,0.0
65,0.13,0.062330082,0.39973322,False,0.0
66,0.132,0.053520247,0.37706977,False,0.0
67,0.134,0.05782598,0.41819498,False,0.0
68,0.136,0.046157323,0.3923703,False,0.0
69,0.138,0.06244288,0.44166845,False,0.0
70,0.14,0.08396961,0.4609431,False,0.0
71,0.142,0.090262905,0.45060953,False,0.0
72,0.144,0.10754808,0.47694474,False,0.0
73,0.146,0.091919854,0.4140468,False,0.0
74,0.148,0.14053343,0.42489278,False,0.0
75,0.15,0.14070068,0.4269319,False,0.0
76,0.152,0.18837492,0.3949792,False,0.0
77,0.154,0.16371906,0.42073777,False,0.0
78,0.156,0.13156413,0.40011927,False,0.0
79,0.158,0.14661281,0.39712042,False,0.0
80,0.16,0.14928493,0.38890666,False,0.0
81,0.162,0.15342535,0.42159835,False,0.0
82,0.164,0.15384154,0.47162965,False,0.0
83,0.166,0.18209913,0.47709447,False,0.0
84,0.168,0.18079808,0.46769148,False,0.0
85,0.17,0.18951651,0.43339437,False,0.0
86,0.172,0.21842173,0.44304827,False,0.0
87,0.174,0.17424418,0.41436863,False,0.0
88,0.176,0.16410801,0.42340797,False,0.0
89,0.178,0.20444073,0.4480765,False,0.0
90,0.18,0.19463322,0.5169361,False,0.0
91,0.182,0.20854421,0.4876128,False,0.0
92,0.184,0.2350165,0.4615703,False,0.0
93,0.186,0.2755437,0.44159842,False,0.0
94,0.188,0.2651722,0.43403423,False,0.0
95,0.19,0.23024403,0.4518328,False,0.0
96,0.192,0.22028093,0.46307167,False,0.0
97,0.194,0.15854596,0.49683008,False,0.0
98,0.196,0.1900066,0.53628665,False,0.0
99,0.198,0.2115839,0.5482033,False,0.0
100,0.2,0.25679606,0.5345023,False,0.0
101,0.202,0.23708768,0.48269543,False,0.0
102,0.204,0.19122986,0.4219105,False,0.0
103,0.206,0.26354638,0.43184245,False,0.0
104,0.208,0.27925238,0.4601652,False,0.0
105,0.21,0.28892377,0.49506518,False,0.0
106,0.212,0.3224264,0.54163677,False,0.0
107,0.214,0.28325474,0.54200625,False,0.0
108,0.216,0.25739115,0.48928824,False,0.0
109,0.218,0.27995056,0.48266432,False,0.0
110,0.22,0.29205096,0.44917235,False,0.0
111,0.222,0.30252552,0.49712956,False,0.0
112,0.224,0.29410076,0.52552915,False,0.0
113,0.226,0.29059237,0.4955368,False,0.0
114,0.228,0.33117014,0.5044108,False,0.0
115,0.23,0.30421358,0.48555037,False,0.0
116,0.232,0.3459835,0.5150079,False,0.0
117,0.234,0.3374751,0.47303185,False,0.0
118,0.236,0.31636262,0.46612984,False,0.0
119,0.238,0.31735834,0.43052,False,0.0
120,0.24,0.3050304,0.42812696,False,0.0
121,0.242,0.31013155,0.4611308,False,0.0
122,0.244,0.37010068,0.4579637,False,0.0
123,0.246,0.369278,0.5021675,False,0.0
124,0.248,0.36942193,0.52052426,False,0.0
125,0.25,0.36101273,0.4881282,False,0.0
126,0.252,0.37304896,0.44454283,False,0.0
127,0.254,0.3813862,0.42624345,False,0.0
128,0.256,0.4768164,0.46251643,False,0.0
129,0.258,0.4197469,0.45714498,False,0.0
130,0.26,0.40451545,0.46044233,False,0.0
131,0.262,0.43769914,0.4830173,False,0.0
132,0.264,0.42597213,0.49428144,False,0.0
133,0.266,0.42171308,0.46857053,False,0.0
134,0.268,0.48232397,0.47979286,False,0.0
135,0.27,0.5063439,0.5096685,False,0.0
136,0.272,0.4844574,0.5529126,False,0.0
137,0.274,0.48624465,0.58745277,False,0.0
138,0.276,0.5076061,0.59476805,False,0.0
139,0.278,0.47091594,0.5989746,False,0.0
140,0.28,0.46272454,0.5824314,False,0.0
141,0.282,0.47654995,0.6160468,False,0.0
142,0.284,0.54680693,0.55365837,False,0.0
143,0.286,0.53237087,0.4278372,False,0.0
144,0.288,0.5340881,0.47170648,False,0.0
145,0.29,0.5628708,0.49964416,False,0.0
