,t,x,y,status,evt
0,0.0,1.3203456,0.8948723,True,0
1,0.002,1.3388833,0.907385,True,1
2,0.004,1.3562481,0.8992247,True,1
3,0.006,1.3826174,0.88998705,True,1
4,0.008,1.3879422,0.8964875,True,1
5,0.01,1.3787084,0.887066,True,1
6,0.012,1.3608592,0.88762605,True,1
7,0.014,1.3515127,0.893333,True,1
8,0.016,1.3670689,0.872275,True,1
9,0.018,1.4125922,0.84455025,True,1
10,0.02,1.4690412,0.8428972,True,1
11,0.022,1.468452,0.8311838,True,1
12,0.024,1.4707235,0.82186055,True,1
13,0.026,1.4833801,0.79763836,True,1
14,0.028,1.4959493,0.7843925,True,1
15,0.03,1.516982,0.75988346,True,1
16,0.032,1.5283765,0.75687295,True,1
17,0.034,1.5288703,0.7525108,True,1
18,0.036,1.5356032,0.75728035,True,1
19,0.038,1.552338,0.7619673,True,1
20,0.04,1.5550101,0.77059627,True,1
21,0.042,1.5507317,0.761238,True,1
22,0.044,1.5475383,0.75602794,True,1
23,0.046,1.5574489,0.72677165,True,1
24,0.048,1.569028,0.72377574,True,1
25,0.05,1.5672759,0.7300846,True,1
26,0.052,1.5619277,0.74259436,True,1
27,0.054,1.5513306,0.74951196,True,1
28,0.056,1.558363,0.741728,True,1
29,0.058,1.5712703,0.7371393,True,1
30,0.06,1.5638977,0.7393223,True,1
31,0.062,1.5584912,0.7126876,True,1
32,0.064,1.5598915,0.729368,True,1
33,0.066,1.5495278,0.7163963,True,1
34,0.068,1.547797,0.7164634,True,1
35,0.07,1.549168,0.6867764,True,1
36,0.072,1.5342361,0.6889273,True,1
37,0.074,1.5183239,0.69082344,True,1
38,0.076,1.5075186,0.6929647,True,1
39,0.078,1.5081565,0.6924415,True,1
40,0.08,1.5179602,0.6948346,True,1
41,0.082,1.5245782,0.7081252,True,1
42,0.084,1.5225518,0.7353676,True,1
43,0.086,1.5070033,0.74782,True,1
44,0.088,1.4869215,0.738736,True,1
45,0.09,1.4702489,0.75070703,True,1
46,0.092,1.473559,0.7618652,True,1
47,0.094,1.4722365,0.76761,True,1
48,0.096,1.4953288,0.7814228,True,1
49,0.098,1.4942183,0.7950158,True,1
50,0.1,1.4861475,0.7886914,True,1
51,0.102,1.4924738,0.7798009,True,1
52,0.104,1.4775555,0.7699749,True,1
53,0.106,1.4992281,0.7611485,True,1
54,0.108,1.4920422,0.75602794,True,1
55,0.11,1.4853541,0.75525683,True,1
56,0.112,1.5115268,0.76394606,True,1
57,0.114,1.4908034,0.760992,True,1
58,0.116,1.4761689,0.7627802,True,1
59,0.118,1.4818457,0.7608043,True,1
60,0.12,1.4753249,0.75647426,True,1
61,0.122,1.4813246,0.7565316,True,1
62,0.124,1.4935222,0.75599,True,1
63,0.126,1.5117913,0.74428344,True,1
64,0.128,1.5323302,0.7386883,True,1
65,0.13,1.5258619,0.72518474,True,1
66,0.132,1.5088859,0.7169029,True,1
67,0.134,1.5118419,0.7132195,True,1
68,0.136,1.5241076,0.71746397,True,1
69,0.138,1.5221862,0.7362758,True,1
70,0.14,1.5139871,0.73773533,True,1
71,0.142,1.4874895,0.7552957,True,1
72,0.144,1.5021142,0.75760806,True,1
73,0.146,1.4854124,0.7442416,True,1
74,0.148,1.4919721,0.74117374,True,1
75,0.15,1.49754,0.74774027,True,1
76,0.152,1.4937944,0.7585863,True,1
77,0.154,1.4903327,0.7676227,True,1
78,0.156,1.4934249,0.7808462,True,1
79,0.158,1.4896443,0.7793643,True,1
80,0.16,1.4839597,0.78768694,True,1
81,0.162,1.4858111,0.7960067,True,1
82,0.164,1.4928803,0.79629064,True,1
83,0.166,1.4885279,0.7814967,True,1
84,0.168,1.482433,0.78444695,True,1
85,0.17,1.4663069,0.79019475,True,1
86,0.172,1.4734287,0.7868721,True,1
87,0.174,1.4741132,0.78592205,True,1
88,0.176,1.4685726,0.7983774,True,1
89,0.178,1.466832,0.8097971,True,1
90,0.18,1.4593058,0.8266622,True,1
91,0.182,1.4600875,0.82004124,True,1
92,0.184,1.4572424,0.8111069,True,1
93,0.186,1.4580611,0.80584335,True,1
94,0.188,1.4540937,0.81456083,True,1
95,0.19,1.4523007,0.81734574,True,1
96,0.192,1.4416996,0.8132413,True,1
97,0.194,1.4433178,0.80927104,True,1
98,0.196,1.4458245,0.80013937,True,1
99,0.198,1.4426177,0.799834,True,1
100,0.2,1.4314234,0.8130828,True,1
101,0.202,1.4306767,0.82507527,True,1
102,0.204,1.4287591,0.8381208,True,1
103,0.206,1.4450252,0.83151245,True,1
104,0.208,1.4335803,0.8376395,True,1
105,0.21,1.4361045,0.84023964,True,1
106,0.212,1.4427246,0.8218926,True,1
107,0.214,1.4470401,0.82470286,True,1
108,0.216,1.4519681,0.80747795,True,1
109,0.218,1.4538584,0.79784256,True,1
110,0.22,1.4788585,0.790115,True,1
111,0.222,1.4623746,0.7829242,True,1
112,0.224,1.4612213,0.7904563,True,1
113,0.226,1.4545236,0.78805745,True,1
114,0.228,1.46451,0.7793808,True,1
115,0.23,1.4633315,0.77429813,True,1
116,0.232,1.4661727,0.76540273,True,1
117,0.234,1.4700954,0.7652656,True,1
118,0.236,1.4429638,0.7724253,True,1
119,0.238,1.4321139,0.76357365,True,1
120,0.24,1.4393212,0.7705515,True,1
121,0.242,1.43676,0.76342976,True,1
122,0.244,1.4421703,0.7558655,True,1
123,0.246,1.4504687,0.7620091,True,1
124,0.248,1.4285394,0.7684998,True,1
125,0.25,1.4211376,0.77225614,True,1
126,0.252,1.419854,0.7624583,True,1
127,0.254,1.4221294,0.7585775,True,1
128,0.256,1.4253888,0.74254674,True,1
129,0.258,1.4254394,0.7461222,True,1
130,0.26,1.4074308,0.7617125,True,1
131,0.262,1.3979052,0.7768186,True,1
132,0.264,1.3960636,0.777507,True,1
133,0.266,1.3858846,0.79027444,True,1
134,0.268,1.3841984,0.78466964,True,1
135,0.27,1.3718764,0.7880603,True,1
136,0.272,1.3651882,0.80605924,True,1
137,0.274,1.3662015,0.8069937,True,1
138,0.276,1.3722556,0.83184695,True,1
139,0.278,1.38316,0.85729533,True,1
140,0.28,1.3916606,0.8756365,True,1
141,0.282,1.3741673,0.90361506,True,1
142,0.284,1.3610692,0.90758824,True,1
143,0.286,1.3192896,0.9298258,True,1
144,0.288,1.3038967,0.96663165,True,1
145,0.29,1.3146533,0.98640907,True,1
146,0.292,1.3070861,1.0162934,True,1
147,0.294,1.3040912,1.025639,True,1
148,0.296,1.2979574,0.9599718,True,2
149,0.298,1.2785679,0.92697763,True,2
150,0.3,1.2501314,1.024584,True,2
151,0.302,1.1864147,1.46451,True,2
152,0.304,0.99513626,1.9242162,True,2
153,0.306,0.6725523,2.6603072,True,2
154,0.308,0.55481553,3.1129346,True,2
155,0.31,0.39853525,3.713464,True,2
156,0.312,0.33675554,4.0019684,True,2
157,0.314,0.28570515,4.496146,True,2
158,0.316,0.29231933,4.7543926,True,2
159,0.318,0.38664684,5.0828032,True,2
160,0.32,0.51591414,5.556337,True,2
