,t,x,y,status,evt
0,0.0,0.060556445,0.6240632,True,0
1,0.002,0.07972805,0.6076026,True,1
2,0.004,0.093611814,0.61144257,True,1
3,0.006,0.09339983,0.6266604,True,1
4,0.008,0.097567484,0.654569,True,1
5,0.01,0.079652205,0.68291503,True,1
6,0.012,0.08406879,0.7164002,True,1
7,0.014,0.09410189,0.75007594,True,1
8,0.016,0.09736134,0.75925624,True,1
9,0.018,0.08997897,0.7412146,True,1
10,0.02,0.084148526,0.7382099,True,1
11,0.022,0.07788052,0.69884276,True,1
12,0.024,0.07330835,0.67517483,True,1
13,0.026,0.06340554,0.6633632,True,1
14,0.028,0.074304074,0.64042556,True,1
15,0.03,0.0869704,0.66017085,True,1
16,0.032,0.09310422,0.6843901,True,1
17,0.034,0.104068875,0.73257005,True,1
18,0.036,0.10308482,0.7658899,True,1
19,0.038,0.09437222,0.78380615,True,1
20,0.04,0.08152892,0.7727277,True,1
21,0.042,0.08107578,0.7495791,True,1
22,0.044,0.07142775,0.7322744,True,1
23,0.046,0.07091822,0.7170721,True,1
24,0.048,0.07297579,0.71050555,True,1
25,0.05,0.06577817,0.72935826,True,1
26,0.052,0.078693435,0.7374835,True,1
27,0.054,0.09395215,0.7558305,True,1
28,0.056,0.105062656,0.7499962,True,1
29,0.058,0.06353196,0.7407595,True,1
30,0.06,0.053870305,0.74222195,True,1
31,0.062,0.052742336,0.7313536,True,1
32,0.064,0.050054654,0.7221382,True,1
33,0.066,0.059183434,0.74479294,True,1
34,0.068,0.06559731,0.7638031,True,1
35,0.07,0.07905905,0.78303504,True,1
36,0.072,0.08573157,0.80440617,True,1
37,0.074,0.07721735,0.8117983,True,1
38,0.076,0.079014316,0.8049381,True,1
39,0.078,0.087059855,0.80157655,True,1
40,0.08,0.08018313,0.7759745,True,1
41,0.082,0.08882572,0.78357375,True,1
42,0.084,0.096112795,0.77464914,True,1
43,0.086,0.10984291,0.79427975,True,1
44,0.088,0.10730498,0.8023029,True,1
45,0.09,0.103211224,0.78631103,True,1
46,0.092,0.112987615,0.7841727,True,1
47,0.094,0.12574536,0.7924798,True,1
48,0.096,0.12825994,0.7830671,True,1
49,0.098,0.13593209,0.7812925,True,1
50,0.1,0.14711261,0.7819265,True,1
51,0.102,0.14811029,0.79759365,True,1
52,0.104,0.15309669,0.7900965,True,1
