,t,x,y,status,evt
0,0.0,-0.2730291,-0.17594878,True,0.0
1,0.002,-0.265848,-0.17512031,True,1.0
2,0.004,-0.26686415,-0.19116665,True,1.0
3,0.006,-0.27792993,-0.1746166,True,1.0
4,0.008,-0.2990677,-0.15008812,True,1.0
5,0.01,-0.2796822,-0.16138045,True,1.0
6,0.012,-0.28441772,-0.14614022,True,1.0
7,0.014,-0.28050774,-0.15099633,True,1.0
8,0.016,-0.23498441,-0.15548001,True,1.0
9,0.018,-0.195873,-0.15116844,True,1.0
10,0.02,-0.18297137,-0.16325134,True,1.0
11,0.022,-0.15206109,-0.14353421,True,1.0
12,0.024,-0.12980118,-0.12790892,True,1.0
13,0.026,-0.11011324,-0.11094755,True,1.0
14,0.028,-0.07622357,-0.105212405,True,1.0
15,0.03,-0.053482324,-0.12521929,True,1.0
16,0.032,-0.042311527,-0.12493535,True,1.0
17,0.034,-0.02126224,-0.12548961,True,1.0
18,0.036,-0.033163298,-0.10455604,True,1.0
19,0.038,-0.041992582,-0.08159212,True,1.0
20,0.04,-0.010528047,-0.09476409,True,1.0
21,0.042,0.011725057,-0.10430711,True,1.0
22,0.044,0.021542288,-0.10070344,True,1.0
23,0.046,0.014685007,-0.118980445,True,1.0
24,0.048,0.012376557,-0.073833436,True,1.0
25,0.05,0.01655977,-0.0664287,True,1.0
26,0.052,0.0014877539,-0.0822864,True,1.0
27,0.054,-0.011948706,-0.0608997,True,1.0
28,0.056,-0.0025680773,-0.07510143,True,1.0
29,0.058,0.01608719,-0.044337984,True,1.0
30,0.06,0.005879059,-0.07963567,True,1.0
31,0.062,-0.0062894067,-0.095471986,True,1.0
32,0.064,-0.017480623,-0.065328926,True,1.0
33,0.066,-0.056773856,-0.09096594,True,1.0
34,0.068,-0.07028033,-0.067527495,True,1.0
35,0.07,-0.091007754,-0.042416546,True,1.0
36,0.072,-0.1070862,-0.052867774,True,1.0
37,0.074,-0.11674006,-0.03698673,True,1.0
38,0.076,-0.13093887,-0.014928103,True,1.0
39,0.078,-0.15277483,-0.014982557,True,1.0
40,0.08,-0.15389307,-0.001988534,True,1.0
41,0.082,-0.15750355,0.007236513,True,1.0
42,0.084,-0.15951055,-0.0096256705,True,1.0
43,0.086,-0.17107323,0.0058848932,True,1.0
44,0.088,-0.17432684,0.017588558,True,1.0
45,0.09,-0.18627554,0.04546887,True,1.0
46,0.092,-0.20106946,0.08180605,True,1.0
47,0.094,-0.17801705,0.091851786,True,1.0
48,0.096,-0.16160703,0.09705212,True,1.0
49,0.098,-0.1553711,0.0853329,True,1.0
50,0.1,-0.13710381,0.103702284,True,1.0
51,0.102,-0.13461256,0.11456094,True,1.0
52,0.104,-0.098090634,0.10904556,True,1.0
53,0.106,-0.068225674,0.12107108,True,1.0
54,0.108,-0.031353686,0.1264902,True,1.0
55,0.11,0.0071470533,0.14745295,True,1.0
56,0.112,0.02091218,0.1809449,True,1.0
57,0.114,0.026765957,0.1874006,True,1.0
58,0.116,0.043948058,0.19906536,True,1.0
59,0.118,0.04173101,0.19952433,True,1.0
60,0.12,0.05514608,0.19542377,True,1.0
61,0.122,0.06980969,0.17863841,True,1.0
62,0.124,0.11073362,0.18551709,True,1.0
63,0.126,0.13174109,0.19628336,True,1.0
64,0.128,0.12849721,0.20146522,True,1.0
65,0.13,0.13278933,0.23013219,True,1.0
66,0.132,0.14350505,0.21407904,True,1.0
67,0.134,0.14569682,0.22008839,True,1.0
68,0.136,0.15149613,0.22506897,True,1.0
69,0.138,0.14654863,0.21468483,True,1.0
70,0.14,0.13698032,0.20362197,True,1.0
71,0.142,0.14254628,0.20944658,True,1.0
72,0.144,0.16497537,0.21451564,True,1.0
73,0.146,0.16149811,0.20536157,True,1.0
74,0.148,0.15616749,0.23925416,True,1.0
75,0.15,0.15439579,0.25478128,True,1.0
76,0.152,0.12973797,0.24187087,True,1.0
77,0.154,0.11278925,0.26291627,True,1.0
78,0.156,0.1099596,0.24905585,True,1.0
79,0.158,0.09435082,0.26306602,True,1.0
80,0.16,0.06676612,0.25330323,True,1.0
81,0.162,0.06319746,0.22896922,True,1.0
82,0.164,0.050311364,0.22672884,True,1.0
83,0.166,0.044974897,0.22157323,True,1.0
84,0.168,0.05275206,0.2335832,True,1.0
85,0.17,0.04065166,0.24314177,True,1.0
86,0.172,0.012926929,0.24196324,True,1.0
87,0.174,0.02135559,0.2520858,True,1.0
88,0.176,0.012403783,0.26124668,True,1.0
89,0.178,-0.012232644,0.24434267,True,1.0
90,0.18,-0.021004558,0.23831095,True,1.0
91,0.182,-0.029986506,0.21219261,True,1.0
92,0.184,-0.0319624,0.20644481,True,1.0
93,0.186,-0.040214084,0.19838664,True,1.0
94,0.188,-0.07149484,0.2179822,True,1.0
95,0.19,-0.065870546,0.23934655,True,1.0
96,0.192,-0.058733217,0.25289872,True,1.0
97,0.194,-0.06613893,0.25765273,True,1.0
98,0.196,-0.068011746,0.2535259,True,1.0
99,0.198,-0.09544282,0.24504766,True,1.0
100,0.2,-0.098539874,0.24087319,True,1.0
101,0.202,-0.10625383,0.21449716,True,1.0
102,0.204,-0.11915256,0.19165382,True,1.0
103,0.206,-0.119913936,0.17124923,True,1.0
104,0.208,-0.12463974,0.15401754,True,1.0
105,0.21,-0.12001896,0.16634548,True,1.0
106,0.212,-0.12068213,0.15077074,True,1.0
107,0.214,-0.11566947,0.17112768,True,1.0
108,0.216,-0.08738852,0.18943678,True,1.0
109,0.218,-0.08378388,0.15898742,True,1.0
110,0.22,-0.110478856,0.14193173,True,1.0
111,0.222,-0.13593501,0.12726131,True,1.0
112,0.224,-0.17705439,0.11333768,True,1.0
113,0.226,-0.19682498,0.13271056,True,1.0
114,0.228,-0.22670063,0.14417113,True,1.0
115,0.23,-0.21728791,0.12667203,True,1.0
116,0.232,-0.19286153,0.12492952,True,1.0
117,0.234,-0.1919436,0.101985045,True,1.0
118,0.236,-0.19244146,0.095771484,True,1.0
119,0.238,-0.19519429,0.09418163,True,1.0
120,0.24,-0.21269047,0.09211628,True,1.0
121,0.242,-0.197106,0.091855675,True,1.0
122,0.244,-0.20688142,0.07129064,True,1.0
123,0.246,-0.1932534,0.07435269,True,1.0
124,0.248,-0.19681914,0.008647448,True,2.0
125,0.25,-0.24516824,-0.064367235,True,2.0
126,0.252,-0.28567597,-0.17781284,True,2.0
127,0.254,-0.3968472,-0.42936286,True,2.0
128,0.256,-0.6010195,-0.5032731,True,2.0
129,0.258,-0.7145069,-0.65610826,True,2.0
130,0.26,-0.9886932,-0.83009374,True,2.0
131,0.262,-1.2144,-0.9995489,True,2.0
132,0.264,-1.4792631,-1.05755,True,2.0
133,0.266,-1.5643091,-1.1565906,True,2.0
134,0.268,-1.590443,-1.2181661,True,2.0
135,0.27,-1.6012666,-1.2484521,True,2.0
136,0.272,-1.5679536,-1.3382707,True,2.0
137,0.274,-1.5462197,-1.4552985,True,2.0
138,0.276,-1.5550267,-1.5395734,True,2.0
139,0.278,-1.5413325,-1.5513083,True,3.0
140,0.28,-1.5238519,-1.5592905,True,3.0
141,0.282,-1.5001547,-1.5165492,True,3.0
142,0.284,-1.4458313,-1.4175757,True,3.0
143,0.286,-1.408443,-1.342343,True,3.0
144,0.288,-1.3775902,-1.306704,True,3.0
145,0.29,-1.3788902,-1.269513,True,3.0
146,0.292,-1.3940254,-1.2558597,True,1.0
147,0.294,-1.4207262,-1.2687808,True,1.0
148,0.296,-1.4604756,-1.2998506,True,1.0
149,0.298,-1.5112119,-1.3484671,True,1.0
150,0.3,-1.5740329,-1.3788552,True,1.0
151,0.302,-1.6121515,-1.3784662,True,1.0
152,0.304,-1.62707,-1.393302,True,1.0
153,0.306,-1.6262414,-1.4270769,True,1.0
154,0.308,-1.614391,-1.4663672,True,1.0
155,0.31,-1.6028312,-1.4717553,True,1.0
156,0.312,-1.5952767,-1.4875857,True,1.0
157,0.314,-1.5818082,-1.4939802,True,1.0
158,0.316,-1.5955635,-1.497402,True,1.0
159,0.318,-1.5982561,-1.5073855,True,1.0
160,0.32,-1.6254704,-1.5084814,True,1.0
161,0.322,-1.6448044,-1.4873173,True,1.0
162,0.324,-1.649782,-1.4824806,True,1.0
163,0.326,-1.6526399,-1.4768282,True,1.0
164,0.328,-1.6467005,-1.4949613,True,1.0
165,0.33,-1.6503168,-1.4872123,True,1.0
166,0.332,-1.6674784,-1.4820315,True,1.0
167,0.334,-1.6853384,-1.4974759,True,1.0
168,0.336,-1.6731476,-1.4657303,True,1.0
169,0.338,-1.6508487,-1.4506748,True,1.0
170,0.34,-1.6491129,-1.4718292,True,1.0
171,0.342,-1.6159428,-1.4917758,True,1.0
172,0.344,-1.6402098,-1.4847784,True,1.0
173,0.346,-1.6464584,-1.4918613,True,1.0
174,0.348,-1.6632982,-1.4536319,True,1.0
175,0.35,-1.6667842,-1.4726061,True,1.0
176,0.352,-1.6615586,-1.4861164,True,1.0
177,0.354,-1.6522285,-1.478877,True,1.0
178,0.356,-1.6207037,-1.5023348,True,1.0
179,0.358,-1.6018374,-1.4778959,True,1.0
180,0.36,-1.6024112,-1.4678559,True,1.0
181,0.362,-1.6073529,-1.4613837,True,1.0
182,0.364,-1.6058359,-1.4316714,True,1.0
183,0.366,-1.631648,-1.4664985,True,1.0
184,0.368,-1.6209584,-1.4175339,True,1.0
185,0.37,-1.6329324,-1.4194679,True,1.0
186,0.372,-1.6448462,-1.4038165,True,1.0
187,0.374,-1.6483604,-1.4087269,True,1.0
188,0.376,-1.617804,-1.4162211,True,1.0
189,0.378,-1.6297177,-1.4235656,True,1.0
190,0.38,-1.63957,-1.4437125,True,1.0
191,0.382,-1.6042587,-1.4189963,True,1.0
192,0.384,-1.6228099,-1.3990818,True,1.0
193,0.386,-1.6228536,-1.4109858,True,1.0
194,0.388,-1.6209905,-1.4248754,True,1.0
195,0.39,-1.6297556,-1.4035363,True,1.0
196,0.392,-1.6094046,-1.4024502,True,1.0
197,0.394,-1.604176,-1.3888571,True,1.0
198,0.396,-1.6163892,-1.3750153,True,1.0
199,0.398,-1.6236889,-1.3848519,True,1.0
200,0.4,-1.6444669,-1.3611267,True,1.0
201,0.402,-1.6568017,-1.3601484,True,1.0
202,0.404,-1.6645914,-1.3526571,True,1.0
203,0.406,-1.6746606,-1.3523576,True,1.0
204,0.408,-1.6792774,-1.3537627,True,1.0
205,0.41,-1.6978822,-1.4038806,True,1.0
206,0.412,-1.7203716,-1.4165713,True,1.0
207,0.414,-1.7149106,-1.4184576,True,1.0
208,0.416,-1.7256895,-1.4068629,True,1.0
209,0.418,-1.7197949,-1.3863621,True,1.0
210,0.42,-1.7121762,-1.3788134,True,1.0
211,0.422,-1.7407994,-1.3852468,True,1.0
212,0.424,-1.7276556,-1.4010801,True,1.0
213,0.426,-1.7413187,-1.4005696,True,1.0
214,0.428,-1.7511067,-1.3960617,True,1.0
215,0.43,-1.7255875,-1.3847878,True,1.0
216,0.432,-1.7112302,-1.3713931,True,1.0
217,0.434,-1.7358121,-1.3759876,True,1.0
218,0.436,-1.7405505,-1.377593,True,1.0
219,0.438,-1.7521745,-1.34819,True,1.0
220,0.44,-1.7303891,-1.3107988,True,1.0
221,0.442,-1.7352997,-1.3085749,True,1.0
222,0.444,-1.7356342,-1.3227183,True,1.0
223,0.446,-1.7270373,-1.3355081,True,1.0
224,0.448,-1.7155155,-1.2844003,True,1.0
225,0.45,-1.7197249,-1.2774156,True,1.0
226,0.452,-1.731696,-1.2566406,True,1.0
227,0.454,-1.7409229,-1.2520335,True,1.0
228,0.456,-1.7593439,-1.2622833,True,1.0
229,0.458,-1.7570112,-1.2519343,True,1.0
230,0.46,-1.7315141,-1.2367709,True,1.0
231,0.462,-1.7298572,-1.2110094,True,1.0
232,0.464,-1.717501,-1.201616,True,1.0
233,0.466,-1.7084199,-1.1913244,True,1.0
234,0.468,-1.6973755,-1.2193067,True,1.0
235,0.47,-1.704297,-1.2111912,True,1.0
236,0.472,-1.7257566,-1.2014022,True,1.0
237,0.474,-1.6943203,-1.20211,True,1.0
238,0.476,-1.7019039,-1.229299,True,1.0
239,0.478,-1.6710472,-1.2356905,True,1.0
240,0.48,-1.6649386,-1.2390841,True,1.0
241,0.482,-1.691054,-1.2274154,True,1.0
242,0.484,-1.7017727,-1.2024795,True,1.0
243,0.486,-1.7235901,-1.2376888,True,1.0
244,0.488,-1.7393905,-1.2702559,True,1.0
245,0.49,-1.7496599,-1.2824088,True,2.0
246,0.492,-1.8159807,-1.2381283,True,2.0
247,0.494,-2.24159,-1.1396098,True,2.0
248,0.496,-3.3048947,-0.88346523,True,2.0
249,0.498,-3.897158,-0.28948092,True,2.0
250,0.5,-4.9207034,-0.08695776,True,2.0
251,0.502,-5.4564104,0.29613402,True,2.0
252,0.504,-6.4918466,0.5697018,True,2.0
