,t,x,y,status,evt
0,0.0,-0.41791785,-0.9791628,True,0.0
1,0.002,-0.4476078,-0.9467998,True,1.0
2,0.004,-0.47353554,-0.94976944,True,1.0
3,0.006,-0.49550763,-0.96568453,True,1.0
4,0.008,-0.49337325,-0.98412395,True,1.0
5,0.01,-0.4831194,-1.0010941,True,1.0
6,0.012,-0.46537527,-1.0055107,True,1.0
7,0.014,-0.4926945,-1.035854,True,1.0
8,0.016,-0.5073834,-1.0375742,True,1.0
9,0.018,-0.5155145,-1.0403211,True,1.0
10,0.02,-0.513807,-1.0189345,True,1.0
11,0.022,-0.5208967,-0.9861222,True,1.0
12,0.024,-0.5155466,-1.0048698,True,1.0
13,0.026,-0.5177928,-0.9502984,True,1.0
14,0.028,-0.5086329,-0.9629132,True,1.0
15,0.03,-0.5157732,-0.987396,True,1.0
16,0.032,-0.54756343,-0.96113765,True,1.0
17,0.034,-0.5527628,-0.98289776,True,1.0
18,0.036,-0.565999,-1.0047901,True,1.0
19,0.038,-0.56201315,-1.0543858,True,1.0
20,0.04,-0.53921455,-1.0841846,True,1.0
21,0.042,-0.51577026,-1.0704954,True,1.0
22,0.044,-0.49298137,-1.0904934,True,1.0
23,0.046,-0.54854167,-1.0836139,True,1.0
24,0.048,-0.58181876,-1.0339578,True,1.0
25,0.05,-0.58934504,-1.0411215,True,1.0
26,0.052,-0.6006948,-1.0246638,True,1.0
27,0.054,-0.5717088,-0.9959744,True,1.0
28,0.056,-0.5820356,-1.0051732,True,1.0
29,0.058,-0.6127232,-0.9910259,True,1.0
30,0.06,-0.59670603,-0.9940433,True,1.0
31,0.062,-0.5734961,-1.0081205,True,1.0
32,0.064,-0.5491494,-1.0212702,True,1.0
33,0.066,-0.52363396,-1.0654292,True,1.0
34,0.068,-0.54354167,-1.0266708,True,1.0
35,0.07,-0.5604612,-1.0012214,True,1.0
36,0.072,-0.61004037,-0.994441,True,1.0
37,0.074,-0.5743732,-0.98858136,True,1.0
38,0.076,-0.51483285,-1.0105418,True,1.0
39,0.078,-0.49752533,-0.995426,True,1.0
40,0.08,-0.47497177,-1.0121219,True,1.0
41,0.082,-0.4464137,-0.98714125,True,1.0
42,0.084,-0.46821368,-0.99828774,True,1.0
