,t,x,y,status,evt
0,0.0,,,False,0.0
1,0.002,,,False,0.0
2,0.004,,,False,0.0
3,0.006,,,False,0.0
4,0.008,,,False,0.0
5,0.01,,,False,0.0
6,0.012,,,False,0.0
7,0.014,-3.8467793,10.429917,False,0.0
8,0.016,-4.7818947,8.578241,False,0.0
9,0.018,-4.7848287,6.508622,False,0.0
10,0.02,-4.742923,4.118167,False,0.0
11,0.022,-1.741873,2.2491894,False,0.0
12,0.024,-1.3166009,0.750251,False,0.0
13,0.026,-0.95467615,-0.28019267,False,0.0
14,0.028,-0.73134094,-0.47771293,False,0.0
15,0.03,-0.5810963,-0.45890984,False,0.0
16,0.032,-0.46565822,-0.09332107,False,0.0
17,0.034,-0.37796146,0.2208313,False,0.0
18,0.036,-0.32464153,0.31313235,False,0.0
19,0.038,-0.25695747,0.33528042,False,0.0
20,0.04,-0.17379202,0.34360698,True,0.0
21,0.042,-0.112591855,0.32043594,True,1.0
22,0.044,-0.09096983,0.2745052,True,1.0
23,0.046,-0.07903668,0.25147417,True,1.0
24,0.048,-0.08840759,0.26908508,True,1.0
25,0.05,-0.13757543,0.2529561,True,1.0
26,0.052,-0.20618033,0.20150022,True,1.0
27,0.054,-0.27770045,0.14328529,True,1.0
28,0.056,-0.30805355,0.13556841,True,1.0
29,0.058,-0.3596086,0.15783124,True,1.0
30,0.06,-0.35944912,0.19079715,True,1.0
31,0.062,-0.3822215,0.21732584,True,1.0
32,0.064,-0.39784095,0.2504765,True,1.0
33,0.066,-0.4011675,0.27335778,True,1.0
34,0.068,-0.3853409,0.2907392,True,1.0
35,0.07,-0.38070846,0.3032519,True,1.0
36,0.072,-0.39171687,0.2751421,True,1.0
37,0.074,-0.34947535,0.2863897,True,1.0
38,0.076,-0.35631707,0.3122465,True,1.0
39,0.078,-0.3275159,0.30343375,True,1.0
40,0.08,-0.2991669,0.29389364,True,1.0
41,0.082,-0.2749,0.28429908,True,1.0
42,0.084,-0.2262125,0.26415604,True,1.0
43,0.086,-0.18356355,0.2675526,True,1.0
44,0.088,-0.14897376,0.27823234,True,1.0
45,0.09,-0.12933639,0.30402884,True,1.0
46,0.092,-0.10020071,0.28927964,True,1.0
47,0.094,-0.062066566,0.2708597,True,1.0
48,0.096,-0.043075826,0.2701139,True,2.0
49,0.098,-0.034548953,0.28339767,True,2.0
50,0.1,-0.0001565545,-0.32980004,True,2.0
51,0.102,-1.0286525,-2.3691382,True,2.0
52,0.104,-2.2847164,-4.910125,True,2.0
53,0.106,-3.0017312,-5.618377,True,2.0
54,0.108,-3.2564268,-4.961033,True,2.0
55,0.11,-4.315512,-3.7886229,True,2.0
56,0.112,-4.461134,-3.2874684,True,2.0
57,0.114,-4.45838,-3.3525524,True,2.0
58,0.116,-4.2368674,-3.7707348,True,2.0
59,0.118,-4.078807,-4.2640023,True,2.0
60,0.12,-4.250199,-4.5008545,True,2.0
61,0.122,-4.5679016,-4.5578036,True,2.0
62,0.124,-4.8510823,-4.4184656,True,2.0
63,0.126,-4.9844775,-4.2538505,True,1.0
64,0.128,-5.042733,-4.1849084,True,1.0
65,0.13,-5.084522,-4.1760693,True,1.0
66,0.132,-5.1313896,-4.1921253,True,1.0
67,0.134,-5.168647,-4.212983,True,1.0
68,0.136,-5.1894946,-4.2303324,True,1.0
69,0.138,-5.1859736,-4.242463,True,1.0
70,0.14,-5.1776705,-4.276184,True,1.0
71,0.142,-5.1650624,-4.27106,True,1.0
72,0.144,-5.149937,-4.270996,True,1.0
73,0.146,-5.1394215,-4.24136,True,1.0
74,0.148,-5.127123,-4.2053804,True,1.0
75,0.15,-5.1222444,-4.182076,True,1.0
76,0.152,-5.1030183,-4.1555495,True,1.0
77,0.154,-5.1033654,-4.1554317,True,1.0
78,0.156,-5.1031427,-4.1405163,True,1.0
79,0.158,-5.0860095,-4.091798,True,1.0
80,0.16,-5.0762467,-4.0721383,True,1.0
81,0.162,-5.066152,-4.0576787,True,1.0
